ID,Discipline,Course Name,SME Name,Institute 1,Institute 2,Duration,URL
noc25_cs76,Computer Science,Large Applications Practicum,Prof. Varun Dutt,IIT Mandi,IIT Madras,4 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs76/preview
noc25_cs01,Computer Science and Engineering,Advanced Computer Architecture,Prof. Smruti R.Sarangi,IIT Delhi,IIT Delhi,12 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs01/preview
noc25_cs02,Computer Science and Engineering,Advanced Computer Networks,"Prof. Neminath Hubballi
Prof. Sameer Kulkarni","IIT Indore
 IIT Gandhi Nagar",IIT Madras,12 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs02/preview
noc25_cs03,Computer Science and Engineering,Advanced Graph Theory,Prof. Rajiv Misra,IIT Patna,IIT Kanpur,8 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs03/preview
noc25_cs04,Computer Science and Engineering,Affective Computing,"Prof. Jainendra Shukla
Prof. Abhinav Dhall",IIIT Delhi,IIT Madras,12 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs04/preview
noc25_cs05,Computer Science and Engineering,AI:Constraint Satisfaction,Prof. Deepak Khemani,IIT Madras,IIT Madras,8 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs05/preview
noc25_cs07,Computer Science and Engineering,Artificial Intelligence: Knowledge Representation And Reasoning,Prof. Deepak Khemani,IIT Madras,IIT Madras,12 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs07/preview
noc25_cs08,Computer Science and Engineering,Blockchain and its Applications,"Prof. Sandip Chakraborty
Prof. Shamik Sural",IIT Kharagpur,IIT Kharagpur,12 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs08/preview
noc25_cs09,Computer Science and Engineering,Business Intelligence & Analytics,Prof. Saji K Mathew,IIT Madras,IIT Madras,12 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs09/preview
noc25_cs10,Computer Science and Engineering,Circuit Complexity Theory,Prof. Raghunath Tewari,IIT Kanpur,IIT Kanpur,12 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs10/preview
noc25_cs11,Computer Science and Engineering,Cloud Computing,Prof. Soumya Kanti Ghosh,IIT Kharagpur,IIT Kharagpur,12 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs11/preview
noc25_cs12,Computer Science and Engineering,Cloud Computing and Distributed Systems,Prof. Rajiv Misra,IIT Patna,IIT Kanpur,8 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs12/preview
noc25_cs13,Computer Science and Engineering,Compiler Design,Prof. Santanu Chattopadhyay,IIT Kharagpur,IIT Kharagpur,12 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs13/preview
noc25_cs14,Computer Science and Engineering,Computational Number Theory and Algebra,Prof. Nitin Saxena,IIT Kanpur,IIT Kanpur,12 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs14/preview
noc25_cs15,Computer Science and Engineering,Computer Networks And Internet Protocol,"Prof. Soumya Kanti Ghosh
Prof. Sandip Chakraborty",IIT Kharagpur,IIT Kharagpur,12 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs15/preview
noc25_cs16,Computer Science and Engineering,Cryptography and Network Security,Prof. Sourav Mukhopadhyay,IIT Kharagpur,IIT Kharagpur,12 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs16/preview
noc25_cs17,Computer Science and Engineering,Data Analytics with Python,Prof. A Ramesh,IIT Roorkee,IIT Roorkee,12 Weeks,https://onlinecourses.nptel.ac.in/noc25_cs17/preview
