S NO,Course Id,Discipline,Course Name,SME Name,Institute,"
Co-ordinating Institute",Duration,Type of course,Start date,End date,Exam date,Enrollment End date,UG/PG,Core/Elective,FDP,Applicable NPTEL Domain,Click here to join the course,Old course URL,Old course NOC URL,NPTEL URL
1,noc22-ae01,Aerospace Engineering,Aircraft Design,Prof. A.K.Ghosh,IITK,IITK,12 Weeks,Rerun,"January 24, 2022","April 15, 2022","April 23, 2022","February 7, 2022",UG/PG,Core,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc22_ae01/preview,https://onlinecourses.nptel.ac.in/noc21_ae04/preview,,https://nptel.ac.in/courses/101/104/101104069/
2,noc22-ae02,Aerospace Engineering,Introduction to Experiments in Flight,Prof. A.K.Ghosh,IITK,IITK,4 Weeks,Rerun,"February 21, 2022","March 18, 2022","April 23, 2022","February 21, 2022",UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc22_ae02/preview,https://onlinecourses.nptel.ac.in/noc21_ae05/preview,,https://nptel.ac.in/courses/101/104/101104066/
3,noc22-ae03,Aerospace engineering,Rocket Propulsion,"Prof. K. Ramamurthi 
Prof. V. Nagabhushana Rao",IITM,IITM,12 Weeks,Rerun,"January 24, 2022","April 15, 2022","April 23, 2022","February 7, 2022",UG/PG,Elective,Yes,Propulsion,https://onlinecourses.nptel.ac.in/noc22_ae03/preview,https://onlinecourses.nptel.ac.in/noc21_ae01/preview,,https://nptel.ac.in/courses/101/106/101106082/
4,noc22-ae04,Aerospace engineering,Computational Science in Engineering,Prof. Ashoke De,IITK,IITK,8 Weeks,Rerun,"February 21, 2022","April 15, 2022","April 23, 2022","February 21, 2022",UG/PG,Core/Elective,Yes,,https://onlinecourses.nptel.ac.in/noc22_ae04/preview,https://onlinecourses.nptel.ac.in/noc21_ae02/preview,,https://nptel.ac.in/courses/101/104/101104086//
5,noc22-ae05,Aerospace engineering,Gasdynamics: Fundamentals and Applications,Prof. Srisha Rao M V,IISc,IISc,12 Weeks,Rerun,"January 24, 2022","April 15, 2022","April 23, 2022","February 7, 2022",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc22_ae05/preview,https://onlinecourses.nptel.ac.in/noc21_ae03/preview,,https://nptel.ac.in/courses/101/108/101108086//
6,noc22-ae06,Aerospace engineering,Introduction to Launch Vehicle Analysis and Design,Prof. Ashok Joshi,IITB,IITB,8 Weeks,Rerun,"February 21, 2022","April 15, 2022","April 24, 2022","February 21, 2022",UG/PG,Core/Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc22_ae06/preview,https://onlinecourses.nptel.ac.in/noc21_ae06/preview,,https://nptel.ac.in/courses/101/101/101101086//
7,noc22-ae07,Aerospace engineering,Lighter than Air Systems,Prof. Rajkumar S. Pant,IITB,IITB,12 Weeks,Rerun,"January 24, 2022","April 15, 2022","April 23, 2022","February 7, 2022",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc22_ae07/preview,https://onlinecourses.nptel.ac.in/noc21_ae07/preview,,https://nptel.ac.in/courses/101/101/101101087//
8,noc22-ae08,Aerospace Engineering,Satellite Attitude Dynamics and Control,Prof. Manoranjan Sinha,IITKGP,IITKGP,12 Weeks,Rerun,"January 24, 2022","April 15, 2022","April 23, 2022","February 7, 2022",UG/PG,Core/Elective,Yes,,https://onlinecourses.nptel.ac.in/noc22_ae08/preview,https://onlinecourses-archive.nptel.ac.in/noc19_ae04,,https://nptel.ac.in/courses/101/105/101105077/
9,noc22-ae09,"Aerodynamics, Aerospace
Engineering,Mechanical Engineering Departments",Fundamentals of Theoretical and Experimental Aerodynamics,Prof. Arnab Roy,IITKGP,IITKGP,12 Weeks,New,"January 24, 2022","April 15, 2022","April 23, 2022","February 7, 2022",UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc22_ae09/preview,,,
10,noc22-ag01,Agriculture Engineering,Soil And Water Conservation Engineering,Prof. Rajendra Singh,IITKGP,IITKGP,12 Weeks,Rerun,"January 24, 2022","April 15, 2022","April 24, 2022","February 7, 2022",UG,Core,No,,https://onlinecourses.nptel.ac.in/noc22_ag01/preview,https://onlinecourses-archive.nptel.ac.in/noc18_ar09,,https://nptel.ac.in/courses/126/105/126105012/
11,noc22-ag02,Agriculture Engineering,Soil Science and Technology,Prof. Somsubhra Chakraborty,IITKGP,IITKGP,12 Weeks,Rerun,"January 24, 2022","April 15, 2022","April 23, 2022","February 7, 2022",UG,Core,No,,https://onlinecourses.nptel.ac.in/noc22_ag02/preview,https://onlinecourses-archive.nptel.ac.in/noc19_ar02,,https://nptel.ac.in/courses/126/105/126105016/
12,noc22-ag03,Agriculture Engineering,Novel Technologies for Food Processing and Shelf-Life Extension,Prof. Hari Niwas Mishra,IITKGP,IITKGP,12 Weeks,Rerun,"January 24, 2022","April 15, 2022","April 23, 2022","February 7, 2022",UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc22_ag03/preview,https://onlinecourses-archive.nptel.ac.in/noc19_ar01,,https://nptel.ac.in/courses/126/105/126105015/
13,noc22-ag04,Agriculture Engineering,Instrumentation and Process Control in Food Industry,Prof. Ashis Kumar Datta,IITKGP,IITKGP,8 Weeks,New,"January 24, 2022","March 18, 2022","March 27, 2022","February 7, 2022",UG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc22_ag04/preview,,,
14,noc22-ag05,Agriculture Engineering,Machine Learning For Soil And Crop Management,Prof. Somsubhra Chakraborty,IITKGP,IITKGP,12 Weeks,New,"January 24, 2022","April 15, 2022","April 23, 2022","February 7, 2022",UG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc22_ag05/preview,,,
15,noc22-me66,Applied Mechanics,Engineering Mechanics - Statics and Dynamics,Prof. Anubhab Roy,IITM,IITM,8 Weeks,Rerun,"January 24, 2022","March 18, 2022","March 27, 2022","February 7, 2022",UG,Core,No,"Structural Analysis, Structural Design",https://onlinecourses.nptel.ac.in/noc22_me66/preview,https://onlinecourses.nptel.ac.in/noc21_me01/preview,,https://nptel.ac.in/courses/112106180/
16,noc22-me67,Applied Mechanics,Experimental Stress Analysis,Prof. K. Ramesh,IITM,IITM,12 Weeks,Rerun,"January 24, 2022","April 15, 2022","April 24, 2022","February 7, 2022",UG/PG,Elective,Yes,Advanced Mechanics,https://onlinecourses.nptel.ac.in/noc22_me67/preview,https://onlinecourses.nptel.ac.in/noc21_me02/preview,,https://nptel.ac.in/courses/112/106/112106247/
17,noc22-ar01,Architecture and Planning,"Structure, Form, and Architecture: The Synergy",Prof. Shubhajit Sadhukhan,IITR,IITR,8 Weeks,Rerun,"January 24, 2022","March 18, 2022","March 27, 2022","February 7, 2022",PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc22_ar01/preview,https://onlinecourses.nptel.ac.in/noc21_ar02/preview,,https://nptel.ac.in/courses/124/107/124107012/
18,noc22-ar02,Architecture and Planning,User Interface Design,Prof. Saptarshi Kolay,IITR,IITR,4 Weeks,Rerun,"February 21, 2022","March 18, 2022","April 23, 2022","February 21, 2022",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc22_ar02/preview,https://onlinecourses.nptel.ac.in/noc21_ar05/preview,,https://nptel.ac.in/courses/124/107/124107008/
19,noc22-ar03,Architecture and Planning,Introduction to History of Architecture in India,Prof. Pushkar Sohoni,IISER Pune,IITM,4 Weeks,Rerun,"January 24, 2022","February 18, 2022","March 27, 2022","February 7, 2022",UG,Core,No,,https://onlinecourses.nptel.ac.in/noc22_ar03/preview,https://onlinecourses.nptel.ac.in/noc21_ar04/preview,,https://nptel.ac.in/courses/124/106/124106009/
20,noc22-ar04,Architecture and Planning,Engineering/Architectural Graphics – part II – Isometric and Axonometric Drawings,Prof. Avlokita Agrawal,IITR,IITR,4 Weeks,New,"February 21, 2022","March 18, 2022","April 24, 2022","February 21, 2022",UG,Core,No,,https://onlinecourses.nptel.ac.in/noc22_ar04/preview,,,
21,noc22-ar05,Architecture and Planning,Disaster Recovery and Build Back Better,"Prof. Ram Sateesh Pasupuleti 
Prof. Subhojyothi Samaddar",IITR,IITR,8 Weeks ,Rerun,"February 21, 2022","April 15, 2022","April 24, 2022","February 21, 2022",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc22_ar05/preview,https://onlinecourses.nptel.ac.in/noc20_ar13/preview,,https://nptel.ac.in/courses/124/107/124107010/
22,noc22-ar06,Architecture and Planning,Engineering/Architectural Graphics - part I - Orthographic projection,Prof. Avlokita Agrawal,IITR,IITR,8 Weeks,Rerun,"February 21, 2022","April 15, 2022","April 24, 2022","February 21, 2022",UG,Core,No,,https://onlinecourses.nptel.ac.in/noc22_ar06/preview,https://onlinecourses.nptel.ac.in/noc21_ar01/preview,,https://nptel.ac.in/courses/124/107/124107157/
