Course Id,Discipline,Course Name,SME Name,Institute,"
Co-ordinating Institute",Duration,Type of course,Start date,End date,Exam date,Enrollment End date,UG/PG,Core/Elective,FDP,Applicable NPTEL Domain,Click here to join the course,Old course URL,NPTEL URL,Old course URL,NPTEL URL
noc23-ae01,Aerospace Engineering,Aircraft Design,Prof. A.K.Ghosh,IITK,IITK,12 Weeks,Rerun,23 01 2023,14 04 2023,30 04 2023,6 02 2023,UG/PG,Core,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae01,https://onlinecourses.nptel.ac.in/noc22_ae01,https://nptel.ac.in/courses/101104069,https://onlinecourses.nptel.ac.in/noc22_ae01,https://nptel.ac.in/courses/101104069
noc23-ae02,Aerospace Engineering,Introduction to Experiments in Flight,Prof. A.K.Ghosh,IITK,IITK,4 Weeks,Rerun,23 01 2023,17 02 2023,26 03 2023,6 02 2023,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae02,https://onlinecourses.nptel.ac.in/noc22_ae02,https://nptel.ac.in/courses/101104066,https://onlinecourses.nptel.ac.in/noc22_ae02,https://nptel.ac.in/courses/101104066
noc23-ae03,Aerospace Engineering,Rocket Propulsion,"Prof. K. Ramamurthi 
 Prof. V. Nagabhushana Rao",IITM,IITM,12 Weeks,Rerun,23 01 2023,14 04 2023,30 04 2023,6 02 2023,UG/PG,Elective,Yes,Propulsion,https://onlinecourses.nptel.ac.in/noc23_ae03,https://onlinecourses.nptel.ac.in/noc22_ae03,https://nptel.ac.in/courses/101106082,https://onlinecourses.nptel.ac.in/noc22_ae03,https://nptel.ac.in/courses/101106082
noc23-ae04,Aerospace Engineering,Computational Science in Engineering,Prof. Ashok De,IITK,IITK,8 Weeks,Rerun,23 01 2023,17 03 2023,26 03 2023,6 02 2023,UG/PG,Core/Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae04,https://onlinecourses.nptel.ac.in/noc22_ae04,https://nptel.ac.in/courses/101104086,https://onlinecourses.nptel.ac.in/noc22_ae04,https://nptel.ac.in/courses/101104086
noc23-ae05,Aerospace Engineering,Lighter than Air Systems,Prof. Rajkumar S. Pant,IITB,IITB,12 Weeks,Rerun,23 01 2023,14 04 2023,30 04 2023,6 02 2023,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae05,https://onlinecourses.nptel.ac.in/noc22_ae07,https://nptel.ac.in/courses/101101087,https://onlinecourses.nptel.ac.in/noc22_ae07,https://nptel.ac.in/courses/101101087
noc23-ae06,Aerospace Engineering,Fundamentals of Theoretical and Experimental Aerodynamics,Prof. Arnab Roy,IITKGP,IITKGP,12 Weeks,Rerun,23 01 2023,14 04 2023,30 04 2023,6 02 2023,UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae06,https://onlinecourses.nptel.ac.in/noc22_ae09,https://nptel.ac.in/courses/101105088,https://onlinecourses.nptel.ac.in/noc22_ae09,https://nptel.ac.in/courses/101105088
noc23-ae07,Aerospace Engineering,Satellite Attitude Dynamics And Control,Prof. Manoranjan Sinha,IITKGP,IITKGP,12 Weeks,Rerun,23 01 2023,14 04 2023,30 04 2023,6 02 2023,UG/PG,Core/Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae07,https://onlinecourses.nptel.ac.in/noc22_ae08,https://nptel.ac.in/courses/101105077,https://onlinecourses.nptel.ac.in/noc22_ae08,https://nptel.ac.in/courses/101105077
noc23-ag01,Agriculture Engineering,Instrumentation and Process Control in Food Industry,Prof. Ashis Kumar Datta,IITKGP,IITKGP,8 Weeks,Rerun,23 01 2023,17 03 2023,26 03 2023,6 02 2023,UG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ag01,https://onlinecourses.nptel.ac.in/noc22_ag04,https://nptel.ac.in/courses/126105020,https://onlinecourses.nptel.ac.in/noc22_ag04,https://nptel.ac.in/courses/126105020
noc23-ag02,Agriculture Engineering,Novel Technologies For Food Processing And Shelf Life Extension,Prof. Hari Niwas Mishra,IITKGP,IITKGP,12 Weeks,Rerun,23 01 2023,14 04 2023,30 04 2023,6 02 2023,UG,Core,No,,https://onlinecourses.nptel.ac.in/noc23_ag02,https://onlinecourses.nptel.ac.in/noc22_ag03,https://nptel.ac.in/courses/126105015,https://onlinecourses.nptel.ac.in/noc22_ag03,https://nptel.ac.in/courses/126105015
noc23-ag03,Agriculture Engineering,Soil Science And Technology,Prof. Somsubhra Chakraborty,IITKGP,IITKGP,12 Weeks,Rerun,23 01 2023,14 04 2023,30 04 2023,6 02 2023,UG,Core,No,,https://onlinecourses.nptel.ac.in/noc23_ag03,https://onlinecourses.nptel.ac.in/noc22_ag02,https://nptel.ac.in/courses/126105016,https://onlinecourses.nptel.ac.in/noc22_ag02,https://nptel.ac.in/courses/126105016
noc23-ag04,Agriculture Engineering,Machine Learning For Soil And Crop Management,Prof. Somsubhra Chakraborty,IITKGP,IITKGP,12 Weeks,Rerun,23 01 2023,14 04 2023,30 04 2023,6 02 2023,UG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ag04,https://onlinecourses.nptel.ac.in/noc22_ag05,https://nptel.ac.in/courses/126105021,https://onlinecourses.nptel.ac.in/noc22_ag05,https://nptel.ac.in/courses/126105021
