Course ID,Discipline,Course Name,SME Name,Institute,"
Co-ordinating Institute",Duration,Type of course,Start date,End date,Exam date,Enrollment End date,Exam Registration End date,UG/PG,Core/Elective,FDP,Applicable NPTEL Domain,Click here to Join the course,Old course URL,Course ID,NPTEL URL
noc24-ae01,Aerospace Engineering,Gasdynamics: Fundamentals and Applications,Prof. Srisha Rao M V,IISc,IISc,12 Weeks,Rerun,22 01 2024,12 04 2024,27 04 2024,29 01 2024,16 02 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ae01/preview,https://onlinecourses.nptel.ac.in/noc22_ae05/preview,noc24_ae01,
noc24-ae02,Aerospace Engineering,Aircraft Design,Prof. A.K.Ghosh,IITK,IITK,12 weeks,Rerun,22 01 2024,12 04 2024,27 04 2024,29 01 2024,16 02 2024,UG/PG,Core,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc24_ae02/preview,https://onlinecourses.nptel.ac.in/noc23_ae01/preview,noc24_ae02,
noc24-ae03,Aerospace Engineering,Computational Science in Engineering,Prof. Ashok De,IITK,IITK,8 Weeks,Rerun,22 01 2024,15 03 2024,24 03 2024,29 01 2024,16 02 2024,UG/PG,Core/Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ae03/preview,https://onlinecourses.nptel.ac.in/noc23_ae04/preview,noc24_ae03,
noc24-ae04,Aerospace Engineering,Fundamentals of Theoretical and Experimental Aerodynamics,Prof. Arnab Roy,IITKGP,IITKGP,12 Weeks,Rerun,22 01 2024,12 04 2024,27 04 2024,29 01 2024,16 02 2024,UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc24_ae04/preview,https://onlinecourses.nptel.ac.in/noc23_ae06/preview,noc24_ae04,
noc24-ae05,Aerospace Engineering,Introduction to Aircraft Control System,Prof. Dipak Kumar Giri,IITK,IITK,12 Weeks,New,22 01 2024,12 04 2024,28 04 2024,29 01 2024,16 02 2024,UG/PG,Core,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc24_ae05/preview,,noc24_ae05,
noc24-ae06,Aerospace Engineering,Introduction to Experiments in Flight,Prof. A.K.Ghosh,IITK,IITK,4 Weeks,Rerun,22 01 2024,16 02 2024,23 03 2024,29 01 2024,16 02 2024,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc24_ae06/preview,https://onlinecourses.nptel.ac.in/noc23_ae02/preview,noc24_ae06,
noc24-ae07,Aerospace Engineering,Lighter than Air Systems,Prof. Rajkumar S. Pant,IITB,IITB,12 Weeks,Rerun,22 01 2024,12 04 2024,27 04 2024,29 01 2024,16 02 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ae07/preview,https://onlinecourses.nptel.ac.in/noc23_ae05/preview,noc24_ae07,
noc24-ae08,Aerospace Engineering,Rocket Propulsion,"Prof. K. Ramamurthi 
Prof. V. Nagabhushana Rao",IITM,IITM,12 Weeks,Rerun,22 01 2024,12 04 2024,27 04 2024,29 01 2024,16 02 2024,UG/PG,Elective,Yes,Propulsion,https://onlinecourses.nptel.ac.in/noc24_ae08/preview,https://onlinecourses.nptel.ac.in/noc23_ae03/preview,noc24_ae08,
noc24-ae09,Aerospace Engineering,Combustion of Solid Fuels and Propellants,Prof. Srinibas Karmakar,IITKGP,IITKGP,8 Weeks,New,19 02 2024,12 04 2024,21 04 2024,19 02 2024,15 03 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ae09/preview,,noc24_ae09,
noc24-ae10,Aerospace Engineering,Introduction to Ancient Indian Technology,Prof. D.P. Mishra,IITK,IITK,8 Weeks,Rerun,22 01 2024,15 03 2024,23 03 2024,29 01 2024,16 02 2024,UG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ae10/preview,https://onlinecourses.nptel.ac.in/noc20_ae10/preview,noc24_ae10,
noc24-ae11,Aerospace Engineering,Aerospace Structural Analysis,Prof. Mira Mitra,IITKGP,IITKGP,8 Weeks,New,19 02 2024,12 04 2024,28 04 2024,19 02 2024,15 03 2024,UG,Core,No,,https://onlinecourses.nptel.ac.in/noc24_ae11/preview,,noc24_ae11,
noc24-ae12,Aerospace Engineering,Fundamentals of Supersonic and Hypersonic Flow,Prof. Arnab Roy,IITKGP,IITKGP,12 Weeks,New,22 01 2024,12 04 2024,28 04 2024,29 01 2024,16 02 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ae12/preview,,noc24_ae12,
