Course ID,Discipline,Course Name,SME Name,Institute,"
Co-ordinating Institute",Duration,Type of course,Start date,End date,Exam date,Enrollment End date,Exam Registration End date,UG/PG,Core/Elective,FDP,Applicable NPTEL Domain,Click here to Join the course,Current course ID,Old course URL,Old Course ID,Course ID,NPTEL URL
noc25-ae01,Aerospace Engineering,Advanced Aircraft Control Systems with MATLAB/SIMULINK,"Prof. Dipak Kumar Giri
Prof. Prabhjeet Singh",IIT Kanpur,IIT Kanpur,12 Weeks,New,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Core,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc25_ae01/preview,noc25_ae01,,,,
noc25-ae02,Aerospace Engineering,Aircraft Design,Prof. A.K.Ghosh,IIT Kanpur,IIT Kanpur,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Core,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc25_ae02/preview,noc25_ae02,https://onlinecourses.nptel.ac.in/noc24_ae02/preview,https://onlinecourses.nptel.ac.in/noc24_ae02/preview,noc24_ae02,
noc25-ae03,Aerospace Engineering,Computational Science in Engineering,Prof. Ashok De,IIT Kanpur,IIT Kanpur,8 Weeks,Rerun,20 01 2025,14 03 2025,22 03 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae03/preview,noc25_ae03,https://onlinecourses.nptel.ac.in/noc24_ae03/preview,https://onlinecourses.nptel.ac.in/noc24_ae03/preview,noc24_ae03,
noc25-ae04,Aerospace Engineering,Fundamentals of Supersonic and Hypersonic Flow,Prof. Arnab Roy,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae04/preview,noc25_ae04,https://onlinecourses.nptel.ac.in/noc24_ae12/preview,https://onlinecourses.nptel.ac.in/noc24_ae12/preview,noc24_ae12,
noc25-ae05,Aerospace Engineering,Fundamentals of Theoretical and Experimental Aerodynamics,Prof. Arnab Roy,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae05/preview,noc25_ae05,https://onlinecourses.nptel.ac.in/noc24_ae04/preview,https://onlinecourses.nptel.ac.in/noc24_ae04/preview,noc24_ae04,
noc25-ae06,Aerospace Engineering,Gasdynamics: Fundamentals and Applications,Prof. Srisha Rao M V,IISc Bangalore,IISc Bangalore,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae06/preview,noc25_ae06,https://onlinecourses.nptel.ac.in/noc24_ae01/preview,https://onlinecourses.nptel.ac.in/noc24_ae01/preview,noc24_ae01,
noc25-ae07,Aerospace Engineering,Introduction to Aircraft Control System,Prof. Dipak Kumar Giri,IIT Kanpur,IIT Kanpur,12 Weeks,Rerun,20 01 2025,11 04 2025,27 04 2025,27 01 2025,14 02 2025,UG/PG,Core,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc25_ae07/preview,noc25_ae07,https://onlinecourses.nptel.ac.in/noc24_ae05/preview,https://onlinecourses.nptel.ac.in/noc24_ae05/preview,noc24_ae05,
noc25-ae08,Aerospace Engineering,Introduction to Ancient Indian Technology,Prof. D.P. Mishra,IIT Kanpur,IIT Kanpur,8 Weeks + 4 Weeks (New),New,20 01 2025,11 04 2025,27 04 2025,27 01 2025,14 02 2025,UG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae08/preview,noc25_ae08,,,,
noc25-ae09,Aerospace Engineering,Introduction to Experiments in Flight,Prof. A.K.Ghosh,IIT Kanpur,IIT Kanpur,4 Weeks,Rerun,20 01 2025,14 02 2025,22 03 2025,27 01 2025,14 02 2025,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc25_ae09/preview,noc25_ae09,https://onlinecourses.nptel.ac.in/noc24_ae06/preview,https://onlinecourses.nptel.ac.in/noc24_ae06/preview,noc24_ae06,
noc25-ae10,Aerospace Engineering,Lighter than Air Systems,Prof. Rajkumar S. Pant,IIT Bombay,IIT Bombay,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae10/preview,noc25_ae10,https://onlinecourses.nptel.ac.in/noc24_ae07/preview,https://onlinecourses.nptel.ac.in/noc24_ae07/preview,noc24_ae07,
noc25-ae12,Aerospace Engineering,Wind Energy,Prof. Ashoke De,IIT Kanpur,IIT Kanpur,12 Weeks,New,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae12/preview,noc25_ae12,,,,
