Course Id,Discipline,Course Name,SME Name,Institute,"
Co-ordinating Institute",Duration,Type of course,Start date,End date,Exam date,Enrollment End date,UG/PG,Core/Elective,FDP,Applicable NPTEL Domain,Click here to join the course,Old course URL,NPTEL URL
noc22-ae10,Aerospace Engineering,Aircraft Stability and Control,Prof. A.K.Ghosh,IITK,IITK,12 Weeks,Rerun,25 07 2022,14 10 2022,29 10 2022,8 08 2022,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc22_ae10/preview,https://onlinecourses.nptel.ac.in/noc21_ae08/preview,https://nptel.ac.in/courses/101104062
noc22-ae11,Aerospace Engineering,Introduction to Airplane performance,"Prof. A K Ghosh
Prof Deepu Philip",IITK,IITK,8 Weeks,Rerun,25 07 2022,16 09 2022,25 09 2022,8 08 2022,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc22_ae11/preview,https://onlinecourses.nptel.ac.in/noc21_ae09/preview,https://nptel.ac.in/courses/101104061
noc22-ae12,Aerospace Engineering,Introduction to Airbreathing Propulsion,Prof. Ashoke De,IITK,IITK,12 Weeks,Rerun,25 07 2022,14 10 2022,30 10 2022,8 08 2022,UG/PG,Core/Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc22_ae12/preview,https://onlinecourses.nptel.ac.in/noc21_ae10/preview,https://nptel.ac.in/courses/101104084
noc22-ae13,Aerospace Engineering,Introduction to Aerospace Engineering-Flight,Prof. Rajkumar Pant,IITB,IITB,12 Weeks,Rerun,25 07 2022,14 10 2022,30 10 2022,8 08 2022,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc22_ae13/preview,https://onlinecourses.nptel.ac.in/noc21_ae11/preview,https://nptel.ac.in/courses/101101079
noc22-ae14,Aerospace Engineering,Introduction to Aircraft Design,Prof. Rajkumar Pant,IITB,IITB,12 Weeks,Rerun,25 07 2022,14 10 2022,29 10 2022,8 08 2022,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc22_ae14/preview,https://onlinecourses.nptel.ac.in/noc21_ae12/preview,https://nptel.ac.in/courses/101101083
noc22-ae15,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,Prof. Subrahmanyam Saderla,IITK,IITK,8 Weeks,Rerun,25 07 2022,16 09 2022,25 09 2022,8 08 2022,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc22_ae15/preview,https://onlinecourses.nptel.ac.in/noc21_ae13/preview,https://nptel.ac.in/courses/101104073
noc22-ae16,Aerospace Engineering,UAV Design - Part II,Prof. Saderla Subrahmanyam,IITK,IITK,8 Weeks,Rerun,25 07 2022,16 09 2022,25 09 2022,8 08 2022,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc22_ae16/preview,https://onlinecourses.nptel.ac.in/noc21_ae14/preview,https://nptel.ac.in/courses/101104083
noc22-ae17,Aerospace Engineering,Engineering Thermodynamics,Prof. D. P. Mishra,IITK,IITK,12 Weeks,Rerun,25 07 2022,14 10 2022,29 10 2022,8 08 2022,UG,Core,No,,https://onlinecourses.nptel.ac.in/noc22_ae17/preview,https://onlinecourses.nptel.ac.in/noc20_ae09/preview,https://nptel.ac.in/courses/101104063
noc22-ae18,Aerospace Engineering,Aerodynamic Design of Axial Flow Compressors & Fans,Prof. Chetankumar Sureshbhai Mistry,IITKGP,IITKGP,12 Weeks,New,25 07 2022,14 10 2022,29 10 2022,8 08 2022,PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc22_ae18/preview,,https://nptel.ac.in/courses/101105089
noc22-ae19,Aerospace Engineering,Aircraft Structures - I,Prof. Anup Ghosh,IITKGP,IITKGP,8 Weeks,Rerun,25 07 2022,16 09 2022,25 09 2022,8 08 2022,UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc22_ae19/preview,https://onlinecourses.nptel.ac.in/noc20_ae08/preview,https://nptel.ac.in/courses/101105084
noc22-ae20,Aerospace Engineering,Introduction To CFD,Prof. Arnab Roy,IITKGP,IITKGP,12 Weeks,Rerun,25 07 2022,14 10 2022,30 10 2022,8 08 2022,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc22_ae20/preview,https://onlinecourses.nptel.ac.in/noc20_ae11/preview,https://nptel.ac.in/courses/101105085
noc22-ae21,Aerospace Engineering,Space Flight Mechanics,Prof. Manoranjan Sinha,IITKGP,IITKGP,12 Weeks,Rerun,25 07 2022,14 10 2022,30 10 2022,8 08 2022,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc22_ae21/preview,https://onlinecourses.nptel.ac.in/noc20_ae06/preview,https://nptel.ac.in/courses/101105083
noc22-ag06,Agriculture Engineering,Dairy And Food Process And Products Technology,Prof. Tridib Kumar Goswami,IITKGP,IITKGP,12 Weeks,Rerun,25 07 2022,14 10 2022,29 10 2022,8 08 2022,PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc22_ag06/preview,https://onlinecourses.nptel.ac.in/noc21_ag02/preview,https://nptel.ac.in/courses/126105013
