Course ID,Discipline,Course Name,SME Name,Institute,"
Co-ordinating Institute",Duration,Type of course,Start date,End date,Exam date,Enrollment End date,Exam Registration End date,UG/PG,Core/Elective,FDP,Applicable NPTEL Domain,Click here to join the course,Old course URL,NPTEL URL
noc23-ae08,Aerospace / Mechanical Engineering,Elements Of Mechanical Vibration,Prof. Ashish K Darpe,IITD,IITD,12 Weeks,New,24 07 2023,13 10 2023,28 10 2023,7 08 2023,28 08 2023,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae08/preview,,https://nptel.ac.in/courses/101102090
noc23-ae09,Aerospace Engineering,Aircraft Stability And Control,Prof. A.K.Ghosh,IITK,IITK,12 Weeks,Rerun,24 07 2023,13 10 2023,28 10 2023,7 08 2023,28 08 2023,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae09/preview,https://onlinecourses.nptel.ac.in/noc22_ae10/preview,https://nptel.ac.in/courses/101104062
noc23-ae10,Aerospace Engineering,Introduction To Airplane Performance,"Prof. A K Ghosh
Prof Deepu Philip",IITK,IITK,8 Weeks,Rerun,24 07 2023,15 09 2023,24 09 2023,7 08 2023,21 08 2023,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae10/preview,https://onlinecourses.nptel.ac.in/noc22_ae11/preview,https://nptel.ac.in/courses/101104061
noc23-ae11,Aerospace engineering,Introduction To Airbreathing Propulsion,Prof. Ashoke De,IITK,IITK,12 Weeks,Rerun,24 07 2023,13 10 2023,29 10 2023,7 08 2023,28 08 2023,UG/PG,Core/Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae11/preview,https://onlinecourses.nptel.ac.in/noc22_ae12/preview,https://nptel.ac.in/courses/101104084
noc23-ae12,Aerospace Engineering,Design Of Fixed Wing Unmanned Aerial Vehicles,Prof. Subrahmanyam Saderla,IITK,IITK,8 Weeks,Rerun,24 07 2023,15 09 2023,24 09 2023,7 08 2023,21 08 2023,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae12/preview,https://onlinecourses.nptel.ac.in/noc22_ae15/preview,https://nptel.ac.in/courses/101104073
noc23-ae13,Aerospace Engineering,UAV Design - Part II,Prof. Saderla Subrahmanyam,IITK,IITK,8 Weeks,Rerun,24 07 2023,15 09 2023,24 09 2023,7 08 2023,21 08 2023,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae13/preview,https://onlinecourses.nptel.ac.in/noc22_ae16/preview,https://nptel.ac.in/courses/101104083
noc23-ae14,Aerospace Engineering,Introduction To Aerospace Engineering-Flight,Prof. Rajkumar Pant,IITB,IITB,12 Weeks,Rerun,24 07 2023,13 10 2023,29 10 2023,7 08 2023,28 08 2023,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae14/preview,https://onlinecourses.nptel.ac.in/noc22_ae13/preview,https://nptel.ac.in/courses/101101079
noc23-ae15,Aerospace engineering,Introduction To Aircraft Design,Prof. Rajkumar Pant,IITB,IITB,12 Weeks,Rerun,24 07 2023,13 10 2023,28 10 2023,7 08 2023,28 08 2023,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae15/preview,https://onlinecourses.nptel.ac.in/noc22_ae14/preview,https://nptel.ac.in/courses/101101083
noc23-ae16,Aerospace Engineering,Space Flight Mechanics,Prof. Manoranjan Sinha,IITKGP,IITKGP,12 Weeks,Rerun,24 07 2023,13 10 2023,29 10 2023,7 08 2023,28 08 2023,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae16/preview,https://onlinecourses.nptel.ac.in/noc22_ae21/preview,https://nptel.ac.in/courses/101105083
noc23-ae17,Aerospace Engineering,Vibration And Structural Dynamics,Prof. Mira Mitra,IITKGP,IITKGP,8 Weeks,Rerun,24 07 2023,15 09 2023,24 09 2023,7 08 2023,21 08 2023,UG,Core,No,Advanced Mechanics,https://onlinecourses.nptel.ac.in/noc23_ae17/preview,https://onlinecourses.nptel.ac.in/noc21_ae15/preview,https://nptel.ac.in/courses/101105081
noc23-ae18,Aerospace Engineering,Aerodynamic Design Of Axial Flow Compressors & Fans,Prof. Chetankumar Sureshbhai Mistry,IITKGP,IITKGP,12 Weeks,Rerun,24 07 2023,13 10 2023,28 10 2023,7 08 2023,28 08 2023,PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae18/preview,https://onlinecourses.nptel.ac.in/noc22_ae18/preview,https://nptel.ac.in/courses/101105089
noc23-ae19,Aerospace Engineering,Smart Structures,Prof. Mohammed Rabius Sunny,IITKGP,IITKGP,12 weeks,New,24 07 2023,13 10 2023,28 10 2023,7 08 2023,28 08 2023,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae19/preview,,https://nptel.ac.in/courses/101105090
