course id,discipline,course name,sme name,institute,"
co-ordinating institute",duration,type of course,start date,end date,exam date,enrollment end date,exam registration end date,ug/pg,core/elective,fdp,applicable nptel domain,click here to join the course,click here to join the course.1,old course url,old course id,course id.1,nptel url
noc24-ae16,Aerospace / Mechanical Engineering,Elements of Mechanical Vibration,Prof. Ashish K Darpe,IIT Delhi,IIT Delhi,12 Weeks,Rerun,22 07 2024,11 10 2024,26 10 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ae16/preview,https://onlinecourses.nptel.ac.in/noc24_ae16/preview,https://onlinecourses.nptel.ac.in/noc23_ae08/preview,https://onlinecourses.nptel.ac.in/noc23_ae08/preview,noc23_ae08,
noc24-ae17,Aerospace Engineering,Aircraft Stability and Control,Prof. A K Ghosh,IIT Kanpur,IIT Kanpur,12 Weeks,Rerun,22 07 2024,11 10 2024,26 10 2024,29 07 2024,16 08 2024,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc24_ae17/preview,https://onlinecourses.nptel.ac.in/noc24_ae17/preview,https://onlinecourses.nptel.ac.in/noc23_ae09/preview,https://onlinecourses.nptel.ac.in/noc23_ae09/preview,noc23_ae09,
noc24-ae13,Aerospace Engineering,Introduction to Airplane Performance,"Prof. A K Ghosh
Prof Deepu Philip",IIT Kanpur,IIT Kanpur,8 Weeks,Rerun,22 07 2024,13 09 2024,21 09 2024,29 07 2024,16 08 2024,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc24_ae13/preview,https://onlinecourses.nptel.ac.in/noc24_ae13/preview,https://onlinecourses.nptel.ac.in/noc23_ae10/preview,https://onlinecourses.nptel.ac.in/noc23_ae10/preview,noc23_ae10,
noc24-ae21,Aerospace engineering,Introduction to Airbreathing Propulsion,Prof. Ashoke De,IIT Kanpur,IIT Kanpur,12 Weeks,Rerun,22 07 2024,11 10 2024,27 10 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc24_ae21/preview,https://onlinecourses.nptel.ac.in/noc24_ae21/preview,https://onlinecourses.nptel.ac.in/noc23_ae11/preview,https://onlinecourses.nptel.ac.in/noc23_ae11/preview,noc23_ae11,
noc24-ae14,Aerospace Engineering,Design of Fixed Wing Unmanned Aerial Vehicles,Prof. Saderla Subrahmanyam,IIT Kanpur,IIT Kanpur,8 Weeks,Rerun,22 07 2024,13 09 2024,22 09 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ae14/preview,https://onlinecourses.nptel.ac.in/noc24_ae14/preview,https://onlinecourses.nptel.ac.in/noc23_ae12/preview,https://onlinecourses.nptel.ac.in/noc23_ae12/preview,noc23_ae12,
noc24-ae15,Aerospace Engineering,UAV Design - Part II,Prof. Saderla Subrahmanyam,IIT Kanpur,IIT Kanpur,8 Weeks,Rerun,22 07 2024,13 09 2024,22 09 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc24_ae15/preview,https://onlinecourses.nptel.ac.in/noc24_ae15/preview,https://onlinecourses.nptel.ac.in/noc23_ae13/preview,https://onlinecourses.nptel.ac.in/noc23_ae13/preview,noc23_ae13,
noc24-ae18,Aerospace Engineering,Smart Structures,Prof. Mohammed Rabius Sunny,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,22 07 2024,11 10 2024,26 10 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ae18/preview,https://onlinecourses.nptel.ac.in/noc24_ae18/preview,https://onlinecourses.nptel.ac.in/noc23_ae19/preview,https://onlinecourses.nptel.ac.in/noc23_ae19/preview,noc23_ae19,
noc24-ae19,Aerospace Engineering,Aeroengine Gas Turbine Cycles,Prof. Chetankumar Sureshbhai Mistry,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,22 07 2024,11 10 2024,26 10 2024,29 07 2024,16 08 2024,PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc24_ae19/preview,https://onlinecourses.nptel.ac.in/noc24_ae19/preview,https://onlinecourses.nptel.ac.in/noc23_ae20/preview,https://onlinecourses.nptel.ac.in/noc23_ae20/preview,noc23_ae20,
noc24-ae22,Aerospace Engineering,Introduction To Aerospace Engineering - Flight,Prof. Rajkumar S. Pant,IIT Bombay,IIT Bombay,12 Weeks,Rerun,22 07 2024,11 10 2024,2 11 2024,29 07 2024,16 08 2024,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc24_ae22/preview,https://onlinecourses.nptel.ac.in/noc24_ae22/preview,https://onlinecourses.nptel.ac.in/noc23_ae14/preview,https://onlinecourses.nptel.ac.in/noc23_ae14/preview,noc23_ae14,
noc24-ae24,Aerospace Engineering,Introduction to Aircraft Design,Prof. Rajkumar S. Pant,IIT Bombay,IIT Bombay,12 Weeks,Rerun,22 07 2024,11 10 2024,3 11 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc24_ae24/preview,https://onlinecourses.nptel.ac.in/noc24_ae24/preview,https://onlinecourses.nptel.ac.in/noc23_ae15/preview,https://onlinecourses.nptel.ac.in/noc23_ae15/preview,noc23_ae15,
noc24-ae23,Aerospace Engineering,Applied Computational Fluid Dynamics,Prof. Rajesh Ranjan,IIT Kanpur,IIT Kanpur,12 Weeks,New,22 07 2024,11 10 2024,2 11 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,Aerodynamics,https://onlinecourses.nptel.ac.in/noc24_ae23/preview,https://onlinecourses.nptel.ac.in/noc24_ae23/preview,,,,
noc24-ae20,Aerospace Engineering,Space Flight Mechanics,Prof. Manoranjan Sinha,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,22 07 2024,11 10 2024,26 10 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc24_ae20/preview,https://onlinecourses.nptel.ac.in/noc24_ae20/preview,https://onlinecourses.nptel.ac.in/noc23_ae16/preview,https://onlinecourses.nptel.ac.in/noc23_ae16/preview,noc23_ae16,
noc24-ag09,Agriculture Engineering,Food Oils and Fats : Chemistry and Technology,Prof. Hari. Niwas Mishra,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,22 07 2024,11 10 2024,26 10 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ag09/preview,https://onlinecourses.nptel.ac.in/noc24_ag09/preview,https://onlinecourses.nptel.ac.in/noc23_ag19/preview,https://onlinecourses.nptel.ac.in/noc23_ag19/preview,noc23_ag19,
noc24-ag17,Agriculture Engineering,Natural Resources Management,Prof. Sudip Mitra,IIT Guwahati,IIT Guwahati,12 Weeks,Rerun,22 07 2024,11 10 2024,27 10 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ag17/preview,https://onlinecourses.nptel.ac.in/noc24_ag17/preview,https://onlinecourses.nptel.ac.in/noc23_ag15/preview,https://onlinecourses.nptel.ac.in/noc23_ag15/preview,noc23_ag15,
noc24-ag10,Agriculture Engineering,Advanced Aquaculture Technology,Prof. Gourav Dhar Bhowmick,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,22 07 2024,11 10 2024,26 10 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ag10/preview,https://onlinecourses.nptel.ac.in/noc24_ag10/preview,https://onlinecourses.nptel.ac.in/noc23_ag11/preview,https://onlinecourses.nptel.ac.in/noc23_ag11/preview,noc23_ag11,
noc24-ag11,Agriculture Engineering,"Post Harvest Operations and Processing of Fruits, Vegetables, Spices and Plantation Crop Products",Prof. H N Mishra,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,22 07 2024,11 10 2024,26 10 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ag11/preview,https://onlinecourses.nptel.ac.in/noc24_ag11/preview,https://onlinecourses.nptel.ac.in/noc23_ag16/preview,https://onlinecourses.nptel.ac.in/noc23_ag16/preview,noc23_ag16,
noc24-ag12,Agriculture Engineering,Soil Fertility and Fertilizers,Prof. Somsubhra Chakraborty,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,22 07 2024,11 10 2024,26 10 2024,29 07 2024,16 08 2024,UG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ag12/preview,https://onlinecourses.nptel.ac.in/noc24_ag12/preview,https://onlinecourses.nptel.ac.in/noc23_ag13/preview,https://onlinecourses.nptel.ac.in/noc23_ag13/preview,noc23_ag13,
noc24-ag13,Agriculture Engineering,Micro Irrigation Engineering,Prof. Kamlesh Narayan Tiwari,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,22 07 2024,11 10 2024,26 10 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ag13/preview,https://onlinecourses.nptel.ac.in/noc24_ag13/preview,https://onlinecourses.nptel.ac.in/noc23_ag10/preview,https://onlinecourses.nptel.ac.in/noc23_ag10/preview,noc23_ag10,
noc24-ag14,Agriculture Engineering,Farm Machinery,Prof. V K Tewari,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,22 07 2024,11 10 2024,27 10 2024,29 07 2024,16 08 2024,UG,Core,No,,https://onlinecourses.nptel.ac.in/noc24_ag14/preview,https://onlinecourses.nptel.ac.in/noc24_ag14/preview,https://onlinecourses.nptel.ac.in/noc23_ag12/preview,https://onlinecourses.nptel.ac.in/noc23_ag12/preview,noc23_ag12,
noc24-ag15,Agriculture Engineering,Dairy and Food Process and Products Technology,Prof. Tridib Kumar Goswami,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,22 07 2024,11 10 2024,26 10 2024,29 07 2024,16 08 2024,PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ag15/preview,https://onlinecourses.nptel.ac.in/noc24_ag15/preview,https://onlinecourses.nptel.ac.in/noc23_ag18/preview,https://onlinecourses.nptel.ac.in/noc23_ag18/preview,noc23_ag18,
noc24-ag16,Agriculture Engineering,Thermal Operations in Food Process Engineering: Theory and Applications,Prof. Tridib Kumar Goswami,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,22 07 2024,11 10 2024,26 10 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ag16/preview,https://onlinecourses.nptel.ac.in/noc24_ag16/preview,https://onlinecourses.nptel.ac.in/noc23_ag14/preview,https://onlinecourses.nptel.ac.in/noc23_ag14/preview,noc23_ag14,
noc24-ge37,All disciplines of Engineering and Sciences,Technical Communication for Engineers,Prof. Arun K. Saraf,IIT Roorkee,IIT Roorkee,4 Weeks,New,22 07 2024,16 08 2024,21 09 2024,29 07 2024,16 08 2024,UG/PG,Core,Yes,"Faculty Domain - Fundamental
Faculty Domain - Advanced",https://onlinecourses.nptel.ac.in/noc24_ge37/preview,https://onlinecourses.nptel.ac.in/noc24_ge37/preview,,,,
noc24-ge49,"Any Engineering, Science and Management Disciplines",Carbon Accounting and Sustainable Designs in Product Lifecycle Management,"Prof. Deepu Philip
Prof. Amandeep Singh Oberoi
Prof. Prabal Pratap Singh",IIT Kanpur,IIT Kanpur,12 Weeks,New,22 07 2024,11 10 2024,2 11 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_ge49/preview,https://onlinecourses.nptel.ac.in/noc24_ge49/preview,,,,
noc24-ma59,Applied Mathematics,Essentials Of Topology,Prof. S. P. Tiwari,IIT (ISM Dhanbad),IIT Kharagpur,12 Weeks,Rerun,22 07 2024,11 10 2024,26 10 2024,29 07 2024,16 08 2024,UG,Core,No,,https://onlinecourses.nptel.ac.in/noc24_ma59/preview,https://onlinecourses.nptel.ac.in/noc24_ma59/preview,https://onlinecourses.nptel.ac.in/noc23_ma99/preview,https://onlinecourses.nptel.ac.in/noc23_ma99/preview,noc23_ma99,
noc24-me110,Applied Mechanics,Turbulence Modeling,Prof. Vagesh D Narasimhamurthy,IIT Madras,IIT Madras,12 Weeks,New,22 07 2024,11 10 2024,2 11 2024,29 07 2024,16 08 2024,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc24_me110/preview,https://onlinecourses.nptel.ac.in/noc24_me110/preview,,,,
noc24-ar16,Architecture and Planning,Sustainable Architecture,Prof. Avlokita Agrawal,IIT Roorkee,IIT Roorkee,12 Weeks,Rerun,22 07 2024,11 10 2024,26 10 2024,29 07 2024,16 08 2024,UG,Core,No,,https://onlinecourses.nptel.ac.in/noc24_ar16/preview,https://onlinecourses.nptel.ac.in/noc24_ar16/preview,https://onlinecourses.nptel.ac.in/noc23_ar16/preview,https://onlinecourses.nptel.ac.in/noc23_ar16/preview,noc23_ar16,
